author_id,created_at,text
3127375655,2019-03-01T23:53:01.000Z,Facebook's '10 Year Challenge' Is Just a Harmless Meme—Right? | WIRED via @kateo
322641774,2019-03-01T23:30:18.000Z,Are you being scanned? How facial recognition technology follows you even as you shop -
14536847,2019-03-01T23:10:00.000Z,‘BiometricScan Your Face to FightCard-
15715367,2019-03-01T22:58:21.000Z,"(2) The answer to this article appears to be ""yesIS possible butdon't care."" It's appalling that companies licenseand other forms offor military applications when they know it'sagainst communities of color."
15715367,2019-03-01T22:58:21.000Z,"(1) ""As thisstart-up pushed further intoapplicationsandservices some employees grewincreasinglyconcerned their work would end up feedingor mass .@clarifai "
710776230405087232,2019-03-01T22:37:28.000Z,"Narita International Airport will become the first airport in Japan to introduce facial recognition based boarding process option for its customers in the spring of 2020.

"
166475923,2019-03-01T22:20:39.000Z,Another update added to the client app... Book the ultimate gym management software
263810225,2019-03-01T22:20:06.000Z,Passengers traveling with @cathaypacific can now participate in a trial ofself-boarding at Amsterdam's @Schiphol 🛫 This trial is the first step toward making paperless travel possible in the long-term.
953170077892751372,2019-03-01T21:05:10.000Z,"Robots are taking over China’s food service industry and making it better: Robotics are used to standardize a centuries-old cuisine shaping the taste buds of future generations.
"
816273673162289152,2019-03-01T21:01:51.000Z,"In""social scores"" aim to reward or punish citizens &gt;&gt;&gt; @MikeQuindazzi &gt;&gt;&gt;@ArkangelScrap "
934749505,2019-03-01T21:01:20.000Z,"Robots are taking over China’s food service industry and making it better: Robotics are used to standardize a centuries-old cuisine shaping the taste buds of future generations.

"
511001249,2019-03-01T21:00:54.000Z,"There’s rising concern over the use ofsoftware by law enforcement border security the military and more. @Microsoft called for new legislation to governsoftware for recognizing faces.

 "
321428655,2019-03-01T20:50:17.000Z,InMarch 12 come visit our coolspace and learn more about thisinsurance quote solution from @Mike_Schiraldi
1903560060,2019-03-01T20:43:52.000Z,Me neither -will more than lose us as individuals our privacy. Populations whole moves will be monitored and eventually managed. This I believe however will be unstoppable. So this restaurant gimmick is just the start!
998650603516710913,2019-03-01T20:11:39.000Z,Well this isn’t good....
76688477,2019-03-01T20:09:42.000Z,GBGplc: We were proudly selected by hmpps to help improve visitor access management in UK prisons. Ourtech provided real-time document authenticationand fingerprint reg to confidently verify theof visitors. Rea… 
386278866,2019-03-01T19:11:56.000Z,👁 @amazon@Microsoftand @MotoSolutions are now on the record opposing HB 1654!
868645594327379968,2019-03-01T19:00:46.000Z,"Amazon joins the ACLU’s call to regulate how police forces employ their facial recognition AI

"
927164722905956352,2019-03-01T18:58:36.000Z,"Narita to become first airport in Japan to use facial recognition for boarding instead of document checks | The Japan Times 
@ivyasaa"
156568938,2019-03-01T18:35:07.000Z,"Doeswork with twins?



"
90896381,2019-03-01T18:27:58.000Z,We were proudly selected by @hmpps to help improve visitor access management in UK prisons. Ourtech provided real-time document authenticationand fingerprint reg to confidently verify theof visitors. Read on: 
996785311286898688,2019-03-01T18:27:21.000Z,ACMLarry: RT acmTechNews: China's Tech Firms Are Mapping Pig Faces
245953506,2019-03-01T18:20:35.000Z,China's Tech Firms Are Mapping Pig Faces
328318014,2019-03-01T18:00:00.000Z,"-Security analytics like automated detection &amp; response
-Interactive experiences like loyalty engagement and checkout

"
15664534,2019-03-01T17:28:25.000Z,relentless .— listening to Cynthia Basinet
1735172144,2019-03-01T17:15:18.000Z,"MWC19: Newsmartphones get @Trulyhandsfreetechnology.

 @HMDGlobal

"
718804592973053952,2019-03-01T17:06:40.000Z,Watch: Facial Recognition Tech Aims to Identify Good and Evilvia @WSJ
1016774532802043904,2019-03-01T17:00:49.000Z,How @IntelliVision_ is making facial recognition technology more reliable &amp; secure:
20757469,2019-03-01T16:53:02.000Z,A report on the ethics of livetechnology in policing pointed to the need for a legislative framework for its use
1021581527707275269,2019-03-01T16:41:04.000Z,"@sianoresist @Twitter is an immoral dick. See also @facebook @google @amazon. 

You know they're all in it for the money right? They don't give two shits about the First Ammendment.






"
27076384,2019-03-01T16:31:29.000Z,Great use of facial recognition to stop this horrible humans “Beijing AI Targets “Hospital Scalpers””
819861340294524928,2019-03-01T16:05:03.000Z,"Beijing Hospitals Are Usingto Target “Hospital Scalpers”
"
