author_id,sentiment,YM,model
727442781837381633,0,01/2018,ALL
875626497599455232,0,01/2018,ALL
153466912,1,01/2018,ALL
888069629360222208,1,01/2018,ALL
26352439,1,01/2018,ALL
250543278,1,01/2018,ALL
3008735148,1,01/2018,ALL
14056672,0,01/2018,ALL
204982635,0,01/2018,ALL
31183155,1,01/2018,ALL
745266288197574657,0,01/2018,ALL
10492752,1,01/2018,ALL
264340308,1,01/2018,ALL
277124724,1,01/2018,ALL
15648148,1,01/2018,ALL
238882546,1,01/2018,ALL
18161669,0,01/2018,ALL
235153539,1,01/2018,ALL
312637921,1,01/2018,ALL
106287256,1,01/2018,ALL
1657926566,1,01/2018,ALL
449822035,1,01/2018,ALL
297397741,1,01/2018,ALL
920122256365199360,1,01/2018,ALL
58653711,1,01/2018,ALL
920122256365199360,1,01/2018,ALL
33880248,0,01/2018,ALL
986060978,1,01/2018,ALL
20821758,0,01/2018,ALL
12843902,0,01/2018,ALL
83588783,1,01/2018,ALL
882628362237292545,1,01/2018,ALL
353817988,0,01/2018,ALL
121128859,0,01/2018,ALL
4159048754,1,01/2018,ALL
20473084,0,01/2018,ALL
17463660,1,01/2018,ALL
1448591947,0,01/2018,ALL
2851586104,1,01/2018,ALL
303640627,1,01/2018,ALL
396971727,1,01/2018,ALL
1080256214,1,01/2018,ALL
1391894126,1,01/2018,ALL
2863853651,1,01/2018,ALL
209122985,1,01/2018,ALL
478568317,1,01/2018,ALL
4815112882,1,01/2018,ALL
2603370339,1,01/2018,ALL
51047330,1,01/2018,ALL
529792717,1,01/2018,ALL
529792717,1,01/2018,ALL
256965214,1,01/2018,ALL
2851586104,1,01/2018,ALL
51047330,1,01/2018,ALL
78549448,1,01/2018,ALL
78549448,1,01/2018,ALL
372889941,1,01/2018,ALL
836113336009801728,1,01/2018,ALL
104558241,1,01/2018,ALL
297397741,0,01/2018,ALL
297397741,0,01/2018,ALL
20019984,0,01/2018,ALL
20019984,1,01/2018,ALL
2282807389,1,01/2018,ALL
1177319622,1,01/2018,ALL
96864580,0,01/2018,ALL
518893575,0,01/2018,ALL
2848442307,0,01/2018,ALL
2848442307,1,01/2018,ALL
16476911,1,01/2018,ALL
183881371,1,01/2018,ALL
1238920908,1,01/2018,ALL
713035999,0,01/2018,ALL
12843902,1,01/2018,ALL
12843902,0,01/2018,ALL
3815139737,1,01/2018,ALL
299558731,0,01/2018,ALL
730342620090621952,0,01/2018,ALL
132232120,0,01/2018,ALL
309684522,1,01/2018,ALL
1536192180,1,01/2018,ALL
14163275,1,01/2018,ALL
256965214,1,01/2018,ALL
737580014619623425,1,01/2018,ALL
737566902180945923,1,01/2018,ALL
380800182,1,01/2018,ALL
555031989,1,01/2018,ALL
2226412446,0,01/2018,ALL
1135341205,0,01/2018,ALL
876700128580468736,0,01/2018,ALL
220919969,0,01/2018,ALL
803354615135617024,0,01/2018,ALL
878925449480380416,1,01/2018,ALL
15354310,1,01/2018,ALL
